ヒラタイ	平たい
クウ	食う
トトノウ	整う
クウカン	空間
クウキ	空気
クウグン	空軍
カラテ	空手
クウチュウ	空中
ゲキレイ	激励
ジョウクウ	上空
マジメ	真面目
ワルモノ	悪者
ショクイン	職員
ショクギョウ	職業
ショクバ	職場
ショクニン	職人
ショクム	職務
テキタイ	敵対
ムショク	無職
ケンショウ	検証
ハグルマ	歯車
サカヤ	酒屋
ショウショ	証書
ショウメイ	証明
ホショウニン	保証人
ヨウシュ	洋酒
ホショウ	保証
コクド	国土
オモイアガル	思い上がる
スイヘイセン	水平線
タイノウ	滞納
ツチ	土
トチ	土地
リョウド	領土
ヨワイ	弱い
ビョウジャク	病弱
ヨトウ	与党
ヒキイル	率いる
キュウ	急
キュウコウ	急行
キュウセイ	急性
キュウゾウ	急増
トッキュウ	特急
ウケトメル	受け止める
チクセキ	蓄積
チュウシ	中止
リョウハシ	両端
ウメタテ	埋め立て
ミオクリ	見送り
ミオクル	見送る
オクル	送る
ソウキン	送金
ヒンプ	貧富
ホウソウ	放送
ウンソウ	運送
オウエン	応援
コウエン	後援
シエン	支援
トモ	供
サクセイ	作製
テイキョウ	提供
イフク	衣服
カノウ	可能
サシズ	指図
ショウニン	小人
コビト	小人
ズヒョウ	図表
ニンカ	認可
フカノウ	不可能
ナンテ	何て
サル	去る
ゲンエキ	現役
シヤクショ	市役所
シュヤク	主役
オトコラシイ	男らしい
ヒルスギ	昼過ぎ
ヒルヤスミ	昼休み
チュウヤ	昼夜
ビョウヨミ	秒読み
ヤク	役
ヤクシャ	役者
ヤクショ	役所
ヤクニン	役人
ヤクメ	役目
キコウ	機構
ケッコウ	結構
コウセイ	構成
コウオン	高音
チャノマ	茶の間
ナガツヅキ	長続き
サンセキ	山積
ミナサマ	皆様
シヨウ	私用
ソウモク	草木
クサキ	草木
ワリダス	割り出す
マケル	負ける
ブンカツ	分割
ヤクワリ	役割
ワリ	割り
ワリアイ	割合
ワリビキ	割引
シンブン	新聞
シンブンシャ	新聞社
キカス	聞かす
キキテ	聞き手
ノミミズ	飲み水
ジシン	自身
シュッシン	出身
ショバツ	処罰
シンシン	心身
ミモト	身元
シンチョウ	身長
ミブン	身分
モウケル	設ける
ゼンシン	全身
ナカミ	中身
カイヒ	会費
ケイヒ	経費
コクヒ	国費
ヒヨウ	費用
ナオス	直す
タクス	託す
コウフ	交付
セイテン	晴天
ソウフ	送付
ヒヅケ	日付
フチュウイ	不注意
ツキアイ	付き合い
フキン	付近
トル	撮る
シセツ	施設
ジッシ	実施
シコウ	施行
イッサイ	一切
カイソク	快速
コギッテ	小切手
キリ	切り
キッテ	切手
タイセツ	大切
オモイキッテ	思い切って
ケイユ	経由
ジユウ	自由
テブクロ	手袋
フジユウ	不自由
ヨシ	由
リユウ	理由
ヤトウ	雇う
エンゼツ	演説
カイセツ	解説
ガクセツ	学説
ショウセツ	小説
セットク	説得
セツメイ	説明
テンサイ	天災
タハタ	田畑
カタミチ	片道
ジョセイテキ	女性的
ウンテン	運転
ウンテンシュ	運転手
カイテン	回転
カケ	掛け
カンシュウ	慣習
ハヤオキ	早起き
ガイショク	外食
ケイエン	敬遠
タベモノ	食べ物
ショクジ	食事
ショクヒン	食品
ショクリョウ	食料
チョウショク	朝食
ヒメイ	悲鳴
クラベル	比べる
ユル	揺る
ムズカシイ	難しい
ナンミン	難民
ナンモン	難問
コクボウ	国防
セキセツ	積雪
モッパラ	専ら
オオユキ	大雪
ボウシ	防止
ヨボウ	予防
アズカル	預かる
ヒッキ	筆記
ホキョウ	補強
バイウ	梅雨
ゲシャ	下車
ガイシャ	外車
キカンシャ	機関車
ジテンシャ	自転車
ジドウシャ	自動車
クルマ	車
シャナイ	車内
シャリョウ	車両
センシャ	戦車
デンシャ	電車
リンカ	隣家
キタカゼ	北風
ガヨウシ	画用紙
ジョユウ	女優
ユウショウ	優勝
ユウセン	優先
ギレイ	儀礼
クフウ	工夫
フジン	夫人
レイギ	礼儀
ドウソウカイ	同窓会
カイシュウ	回収
ツヨマル	強まる
シュウシ	収支
シュウニュウ	収入
シュウヨウ	収容
スイトウ	出納
ネンシュウ	年収
ビカ	美化
シュウシュウ	収集
ソナエル	供える
ケツダン	決断
コトワル	断る
ハンダン	判断
ヨダン	予断
シボル	絞る
ホド	程
ハナシコトバ	話し言葉
ナニカ	何か
ナント	何と
ナントカ	何とか
ナニヨリ	何より
ナントモ	何とも
ナンド	何度
ジンドウシュギ	人道主義
オソワル	教わる
ヤマノボリ	山登り
ミナミ	南
ナンブ	南部
ナンボク	南北
ナンセイ	南西
ナントウ	南東
カセキ	化石
ミョウネン	明年
ヒキトル	引取る
テアシ	手足
アシ	足
フソク	不足
ボウチョウ	膨張
ホッソク	発足
アシモト	足元
フクレル	膨れる
ワリニ	割に
チガイ	違い
イハン	違反
イホウ	違法
マチガイ	間違い
ソウイ	相違
リュウコウカ	流行歌
カイショウ	解消
タエル	耐える
ショウヒ	消費
ショウヒシャ	消費者
ショウボウ	消防
トリケシ	取り消し
オチコボレ	落ちこぼれ
サカイ	境
キョウカイ	境界
コッキョウ	国境
シンキョウ	心境
ツイトツ	追突
ツイデ	次いで
ウケツケル	受け付ける
カミ	神
シンケイ	神経
ジンジャ	神社
シンワ	神話
ミツカル	見付かる
イチバン	一番
バングミ	番組
ホンバン	本番
キセイ	規制
キテイ	規定
コウハク	紅白
シンキ	新規
セイキ	正規
ムショウニ	無性に
シュジュツ	手術
モウシワケ	申し訳
キセル	着せる
ホゴ	保護
ホゴシャ	保護者
ヒカル	光る
テンカイ	展開
テンジ	展示
ハッテン	発展
コロブ	転ぶ
ノリバ	乗り場
ヒトニギリ	一握り
ツナワタリ	綱渡り
マゼル	交ぜる
ジッタイ	実態
ジョウタイ	状態
タイセイ	態勢
タイド	態度
イケバナ	生け花
キキメ	利き目
ジタイ	事態
シドウ	指導
ハヤス	生やす
ドウニュウ	導入
ハンドウタイ	半導体
ソウシュン	早春
アクイ	悪意
ヨコガキ	横書き
ケンドウ	剣道
シンセン	新鮮
アザヤカ	鮮やか
ステキ	素敵
ツウジル	通じる
トバス	飛ばす
ワエイ	和英
ヒャッカジテン	百科事典
グンビ	軍備
セツビ	設備
ネンガ	年賀
ヨビ	予備
キゲン	機嫌
キラウ	嫌う
ジタク	自宅
ジュウタク	住宅
ジュウタクチ	住宅地
タクチ	宅地
カイスウケン	回数券
コウガイ	公害
ユウガイ	有害
リガイ	利害
ケハイ	気配
シハイ	支配
シンパイ	心配
ハイチ	配置
ハイトウ	配当
ハイブン	配分
ブンパイ	分配
カンビョウ	看病
ネンゴウ	年号
フクサヨウ	副作用
テスリ	手すり
アラワレ	現われ
ケイサン	計算
ケッサン	決算
ウカル	受かる
ヨサン	予算
シタジキ	下敷き
シテン	視点
シヤ	視野
ジュウシ	重視
ジュンカイ	巡回
シキブトン	敷き布団
スワル	座る
ジョウケン	条件
ジョウヤク	条約
カンジ	幹事
カンブ	幹部
コウキュウ	恒久
アオイ	青い
オオイ	多い
カナシム	悲しむ
ミキ	幹
ヒルマエ	昼前
ドクサイ	独裁
ドクジ	独自
ドクシン	独身
ドクトク	独特
ドクリツ	独立
ケイカン	警官
ケイコク	警告
ケイホウ	警報
ツミタテ	積み立て
タイセキ	体積
チャドウ	茶道
サドウ	茶道
ハンサヨウ	反作用
ムイミ	無意味
キュウメイ	究明
ケンキュウ	研究
ワリアテ	割当て
キョウイク	教育
クイチガイ	食違い
ミル	診る
タイイク	体育
ウケミ	受身
シュッセキ	出席
セキ	席
セキジョウ	席上
ウンユ	運輸
ユシュツ	輸出
ユソウ	輸送
ユニュウ	輸入
ヨウキ	陽気
タテナオス	立て直す
シタシラベ	下調べ
アラタマル	改まる
タズネル	訪ねる
ホウモン	訪問
タノシミ	楽しみ
コウラク	行楽
ココロヨイ	快い
カイセイ	快晴
コウサ	交差
サシアゲル	差し上げる
サイキ	再起
ジョウギ	定規
ナワ	縄
ソセン	祖先
チャクジツ	着実
キモノ	着物
ノリクミイン	乗組員
ジョウヨウシャ	乗用車
ケイロウ	敬老
シテン	支店
ショテン	書店
テンイン	店員
ホンテン	本店
ジュウタイ	重態
コウリテン	小売店
キジュツ	記述
アキチ	空地
トル	捕る
トラエル	捕らえる
ノコリ	残り
ザンギョウ	残業
ザンダカ	残高
サス	指す
ハバム	阻む
ノコス	残す
カンソウ	感想
コウソウ	構想
ササル	刺さる
シソウ	思想
ソンケイ	尊敬
ハッソウ	発想
ヨソウ	予想
リソウ	理想
アル	有る
シンカンセン	新幹線
セン	線
ムセン	無線
カクリツ	確率
カケル	駆ける
コクフク	克服
オル	織る
フブキ	吹雪
ヒリツ	比率
リリツ	利率
ソッチョク	率直
ワカワカシイ	若々しい
オサマル	治まる
オサメル	治める
ビョウイン	病院
ビョウキ	病気
ビョウシ	病死
シンダイ	寝台
デイリグチ	出入口
イッパイ	一杯
ケイド	経度
ノウカ	農家
ノウキョウ	農協
ノウギョウ	農業
ノウジョウ	農場
ノウソン	農村
ノウチ	農地
ノウミン	農民
タチドマル	立ち止まる
シュウ	州
タシザン	足し算
カクセイキ	拡声機
チョクシ	直視
ブリョク	武力
ナマイキ	生意気
コエ	声
セイメイ	声明
シツ	質
シツモン	質問
ヒトジチ	人質
セイシツ	性質
タイシツ	体質
ヒンシツ	品質
ブッシツ	物質
ホンシツ	本質
ハッパ	葉っぱ
キネン	記念
キネンビ	記念日
ザンネン	残念
シンネン	信念
ダンネン	断念
ニュウネン	入念
ウスグライ	薄暗い
リネン	理念
イレモノ	入れ物
バケモノ	化け物
キタイ	期待
シチヤ	質屋
ヤオヤ	八百屋
カエス	反す
キビン	機敏
ココロミ	試み
シアイ	試合
ニュウシ	入試
カゾク	家族
テビキ	手引
ヒキダス	引出す
ミンゾク	民族
アタイスル	値する
キショウ	気象
ギョソン	漁村
ゲンショウ	現象
タイショウ	対象
ダイベン	代弁
ギンコウ	銀行
ギン	銀
クイキ	区域
ジカツ	自活
チイキ	地域
リョウイキ	領域
エンジョ	援助
ガンコ	頑固
トリツグ	取り次ぐ
タスケル	助ける
ジョシュ	助手
ホジョ	補助
カロウ	過労
コウチャ	紅茶
アラス	荒らす
アレル	荒れる
オモイキル	思い切る
ジョウレイ	条例
ゼンレイ	前例
ヒレイ	比例
タトエバ	例えば
レイガイ	例外
レイネン	例年
レイ	例
エイセイ	衛生
ジエイ	自衛
ボウエイ	防衛
シゼン	自然
シュカンテキ	主観的
トウゼン	当然
ジョウジル	乗じる
ソウキ	早期
ソウチョウ	早朝
ハヤメル	早める
カメ	亀
シュチョウ	主張
シュッチョウ	出張
ハカル	計る
エイガ	映画
ジョウエイ	上映
アクジョ	悪女
キゲン	期限
ケンゲン	権限
カギル	限る
ゲンカイ	限界
ゲンテイ	限定
ゲンド	限度
サイショウゲン	最小限
セイゲン	制限
ツラナル	連なる
サイダイゲン	最大限
ハブラシ	歯ブラシ
オヤ	親
オヤコ	親子
シンゾク	親族
ジンブンカガク	人文科学
リョウシン	両親
キンガク	金額
スミ	炭
オモイガケナイ	思いがけない
カンシ	監視
イイダス	言い出す
ジョウシャケン	乗車券
オクレ	遅れ
カンキョウ	環境
ケイケン	経験
シケン	試験
ジッケン	実験
ジュケン	受験
タイケン	体験
ボクジョウ	牧場
ゴウジョウ	強情
ミスゴス	見過ごす
オウ	追う
ツイカ	追加
ツイホウ	追放
マズシイ	貧しい
マイド	毎度
ササヤカ	細やか
シンギ	審議
シンパン	審判
フシン	不審
ヨウショク	養殖
ナガラク	長らく
ショウギョウ	商業
ショウシャ	商社
ショウテン	商店
ショウバイ	商売
ショウヒン	商品
コトバ	言葉
アオザメル	青ざめる
ユカタ	浴衣
ウチアケル	打ち明ける
マッサオ	真っ青
イギ	意義
ギム	義務
キョウサンシュギ	共産主義
シホンシュギ	資本主義
シュギ	主義
セイギ	正義
ヒルネ	昼寝
テイギ	定義
メイギ	名義
ツタワル	伝わる
デンセツ	伝説
デントウ	伝統
アミモノ	編み物
チャワン	茶わん
キュウコウ	休校
ハタラキ	働き
ロウドウシャ	労働者
ロウドウ	労働
カタチ	形
ケイシキ	形式
ケイセイ	形成
テガタ	手形
ニンギョウ	人形
タダス	正す
ケイキ	景気
クイチガウ	食い違う
トム	富む
オチル	落ちる
カキナオス	書き直す
セイオウ	西欧
チョクシン	直進
トウオウ	東欧
ヒジョウシキ	非常識
トビオリル	飛び降りる
タスカル	助かる
カンヌシ	神主
タントウ	担当
タンニン	担任
タンポ	担保
ブンタン	分担
コノミ	好み
コウイ	好意
コウチョウ	好調
コウブツ	好物
ダイスキ	大好き
カッコウ	格好
インタイ	引退
カイラク	快楽
サシダス	差し出す
タイジ	退治
タイショク	退職
チュウタイ	中退
ロウドク	朗読
ジュンビ	準備
ジョウタツ	上達
スイジュン	水準
キジュン	基準
コウザン	鉱山
ショウ	賞
ショウキン	賞金
ニュウショウ	入賞
カタガワ	片側
キソ	起訴
アラワレル	表れる
ウッタエ	訴え
ハヤマル	早まる
ヘン	辺
オオウ	覆う
カイゾウ	改造
コウゾウ	構造
クミタテル	組み立てる
モクゾウ	木造
エイゴ	英語
ヒトミシリ	人見知り
ユキドケ	雪解け
ヒガイ	被害
ヒコク	被告
フシマツ	不始末
カブ	株
カブシキ	株式
カブヌシ	株主
カンカク	間隔
ツユアケ	梅雨明け
ダボク	打撲
ネントウ	念頭
セントウ	先頭
カザカミ	風上
エンギ	演技
ワザ	技
ギジュツ	技術
ギノウ	技能
シュクフク	祝福
トックン	特訓
サイテイ	最低
テイカ	低下
ゲンソ	元素
モトモト	本々
マイニチ	毎日
アビセル	浴びせる
イガク	医学
イシャ	医者
キンシ	近視
コジ	故事
カイフク	回復
シソン	子孫
ウチキ	内気
フッカツ	復活
オバケ	お化け
シゴト	仕事
ニュウジ	乳児
ハセイ	派生
フカカイ	不可解
シカタ	仕方
シクミ	仕組み
ジモン	自問
カコ	過去
キョネン	去年
シキョ	死去
メイズル	命ずる
カンショウ	鑑賞
スガタ	姿
シセイ	姿勢
ハンコウ	反抗
イミ	意味
キミ	気味
ジミ	地味
アジ	味
ミカタ	味方
タダ	唯
カタミ	形見
ショウブ	勝負
マケ	負け
フタン	負担
アトガキ	後書き
ソカク	組閣
ナイカク	内閣
スルドイ	鋭い
ミナリ	身なり
ニッカン	日韓
ミズイロ	水色
チャクショク	着色
ナンイ	難易
カシツ	過失
チカヅケル	近付ける
スコヤカ	健やか
ウシナウ	失う
シツギョウ	失業
テッキョウ	鉄橋
モウレツ	猛烈
イテン	移転
イドウ	移動
イミン	移民
カクサ	格差
クチベニ	口紅
サベツ	差別
ウケル	請ける
モノサシ	物差し
コウヨウ	紅葉
キカン	器官
ゲンコウヨウシ	原稿用紙
ゴサ	誤差
シュウギイン	衆議院
タイシュウ	大衆
チョウジョウ	頂上
ミンシュウ	民衆
カタマリ	塊
ヨコガオ	横顔
コジン	個人
コセイ	個性
アサガオ	朝顔
ココ	個々
カタサ	硬さ
セイモン	正門
ゾンジル	存じる
ニュウモン	入門
ブモン	部門
メイモン	名門
クワダテル	企てる
ゲッショク	月食
シャシン	写真
ジンゾウ	人造
ヒョウ	評
ヒョウカ	評価
ヒョウバン	評判
ヒョウロン	評論
ハゲマス	励ます
アクジ	悪事
カゼイ	課税
カダイ	課題
カチョウ	課長
ニッカ	日課
サガス	探す
アトシマツ	後始末
ネンマツ	年末
マッキ	末期
マモル	守る
シュビ	守備
ホシュ	保守
ギャッキョウ	逆境
キンギョ	金魚
ワカモノ	若者
カガヤカシイ	輝かしい
クチダシ	口出し
シュノウ	首脳
ノウ	脳
ノウシ	脳死
リコウ	利口
エキ	液
ショウキョクテキ	消極的
ナンキョク	南極
イッシュ	一種
シュモク	種目
ジンシュ	人種
ナゲル	投げる
ヒンシュ	品種
ウツクシイ	美しい
ビジュツ	美術
ヒニン	避妊
ウデマエ	腕前
ハナシゴエ	話し声
ミジカイ	短い
カゲ	影
ウンメイ	運命
カクメイ	革命
シメイ	使命
シンセイ	神聖
セイメイ	生命
ニンメイ	任命
ネムリ	眠り
イノチ	命
メイニチ	命日
ダンセイテキ	男性的
モノオト	物音
ツカイステ	使い捨て
コウキシン	好奇心
モウシデル	申し出る
ガマン	我慢
カサナル	重なる
オオクラ	大蔵
ネンリン	年輪
ヤスイ	安い
オヨボス	及ぼす
ジュウリョウ	重量
スウリョウ	数量
タイリョウ	大量
チュウドク	中毒
キエル	消える
テンボウ	展望
ノゾミ	望み
ヨウボウ	要望
ウチケシ	打ち消し
オモイナオス	思い直す
マツ	松
ハメツ	破滅
ヒナン	非難
ヒジョウ	非常
ダゲキ	打撃
ハンゲキ	反撃
モクゲキ	目撃
サシツカエル	差し支える
バンネン	晩年
ナラブ	並ぶ
サシツカエ	差し支え
ホサ	補佐
カク	核
ケッカク	結核
ネッスル	熱する
ハクネツ	白熱
ホウガイ	法外
チュウカク	中核
サケブ	叫ぶ
カンサツ	観察
ケイサツ	警察
ツキハジメ	月初め
ケンサツ	検察
アラワス	表わす
シサツ	視察
シサ	示唆
セイビ	整備
セイリ	整理
チョウセイ	調整
イチダン	一段
シュダン	手段
ウツス	映す
ヒキハナス	引き離す
ヨコ	横
オウダン	横断
キンユウ	金融
シジュウ	始終
カタ	型
オオガタ	大型
コガタ	小型
メイハク	明白
イップウ	一風
オドス	脅す
クウハク	空白
コクメイ	克明
シロ	白
ハクショ	白書
ハクジン	白人
カザシモ	風下
ボクメツ	撲滅
オボエル	覚える
カツジ	活字
アラワス	現わす
スウジ	数字
モジドオリ	文字通り
チョッケイ	直径
カイトウ	回答
コタエ	答え
モンドウ	問答
ヒマ	暇
オイツク	追い付く
セイサン	成算
モリアゲル	盛り上げる
ゼンヤ	前夜
ヤワラカ	柔らか
ヨル	夜
ヤカン	夜間
セイサク	製作
セイゾウ	製造
セイヒン	製品
トウヒョウ	投票
ヒョウ	票
コノハ	木の葉
ジョウキョウ	状況
フキョウ	不況
ヤクダツ	役立つ
オンガク	音楽
オンセイ	音声
キンキョリ	近距離
ケツエン	血縁
フソウオウ	不相応
ホンネ	本音
シンコク	申告
トウシン	答申
ツメタイ	冷たい
ワリアテル	割り当てる
カミサマ	神様
タヨウ	多様
ドウヨウ	同様
フクラム	膨らむ
ヨウス	様子
ヨウシキ	様式
ヨウソウ	様相
サマザマ	様々
ザイカイ	財界
ザイサン	財産
ザイセイ	財政
ブンカザイ	文化財
チカラモチ	力持ち
クウコウ	空港
ミナト	港
ショウガクキン	奨学金
ヤセイ	野性
イシキ	意識
ジョウシキ	常識
チシキ	知識
ニンシキ	認識
ツッパル	突っ張る
ムカシバナシ	昔話
チュウイ	注意
チュウモン	注文
チュウモク	注目
ヨブ	呼ぶ
アユミヨル	歩み寄る
コウショウ	交渉
ヒヨリ	日和
ジョウヒン	上品
タッセイ	達成
ツウタツ	通達
カイリョウ	改良
フリョウ	不良
リョウコウ	良好
エイキョウ	影響
マエオキ	前置き
ハンキョウ	反響
イチイチ	一々
ノリモノ	乗物
ヘイキ	平気
カエリ	帰り
キコク	帰国
キタク	帰宅
シヌ	死ぬ
シニン	死人
フッキ	復帰
ベンジョ	便所
ヨコギル	横切る
ハリ	針
ホウシン	方針
センム	専務
センモン	専門
センモンカ	専門家
センヨウ	専用
スイシン	推進
スイテイ	推定
トオカ	十日
シロバイ	白バイ
ハクセン	白線
タチナオル	立ちなおる
タニ	谷
コダイ	古代
キコウ	気候
モト	本
ホン	本
コウホ	候補
アキカゼ	秋風
オオモジ	大文字
リッコウホ	立候補
ナサケナイ	情けない
シジョウ	史上
ウケモツ	受け持つ
トグ	研ぐ
イノリ	祈り
ザシキ	座敷
テン	天
テンジョウ	天井
テンキ	天気
テンコウ	天候
テンゴク	天国
テンネン	天然
カイ	階
カイダン	階段
ゲンシュ	厳守
ダンカイ	段階
ニカイ	二階
ホウニン	放任
カテイ	課程
カテイ	過程
カネル	兼ねる
ギョウギ	行儀
タンショ	短所
テイド	程度
ニッテイ	日程
コノハ	木ノ葉
セイジュク	成熟
フマン	不満
マンイン	満員
マンゾク	満足
シッパイ	失敗
ショウハイ	勝敗
ハイセン	敗戦
ハイボク	敗北
ウンキュウ	運休
カンリ	管理
ショウジ	障子
ソクセキ	即席
ホカン	保管
カン	管
クダ	管
カチ	価値
スウチ	数値
アラウ	洗う
タリル	足りる
タイホウ	大砲
アタイ	値
ネアゲ	値上げ
ネサゲ	値下げ
ネダン	値段
スエオキ	据え置き
カシュ	歌手
ウラナウ	占う
ヒマン	肥満
ヒリョウ	肥料
ショウリョウ	小量
カウ	買う
バイシュウ	買収
バイバイ	売買
カイモノ	買い物
ノリオリ	乗り降り
ダンボウ	暖房
トツゼン	突然
ニセモノ	偽物
イキワタル	行き渡る
ホコル	誇る
ノビル	延びる
ダイズ	大豆
トウフ	豆腐
ナットウ	納豆
ウツル	移る
テスウ	手数
スイコウ	遂行
セッスル	接する
セッキン	接近
セッタイ	接待
チョクセツ	直接
バンチ	番地
メンセツ	面接
タイハイ	退廃
カクスウ	画数
シンセイ	申請
セイキュウ	請求
メイロウ	明朗
ヨウセイ	要請
カクヘイキ	核兵器
ガッキ	楽器
キショウ	起床
ブキ	武器
ヘイキ	兵器
ヨウキ	容器
ジョウブ	丈夫
コウギョウ	鉱業
ドウシ	同士
ヘイシ	兵士
カンコウ	観光
ヒカリ	光
コウケイ	光景
セイサン	精算
ケントウ	検討
トウギ	討議
トウロン	討論
シンロ	進路
センロ	線路
ホウムル	葬る
ドウロ	道路
ロジョウ	路上
アク	悪
アッカ	悪化
アクシツ	悪質
サイアク	最悪
メザス	目指す
カガク	科学
カガクシャ	科学者
ゲカ	外科
ガッカ	学科
キョウカショ	教科書
センネン	専念
ブンカ	文科
リカ	理科
カモク	科目
キャクシャ	客車
セメル	攻める
コウゲキ	攻撃
シュエイ	守衛
センコウ	専攻
タイテイ	大抵
カントク	監督
イワウ	祝う
キョウジュ	教授
ジュギョウ	授業
ジョキョウジュ	助教授
チカク	知覚
ハンケイ	半径
カイサイ	開催
シュサイ	主催
ウム	産む
コマカイ	細かい
メイサイ	明細
コウカ	効果
コウリツ	効率
ムコウ	無効
ユウコウ	有効
ヨウフウ	洋風
イト	意図
ズケイ	図形
トショ	図書
チズ	地図
コンシュウ	今週
シュウ	週
シュウマツ	週末
ショウダク	承諾
センシュウ	先週
マイシュウ	毎週
ライシュウ	来週
インカン	印鑑
セッキョクテキ	積極的
メンセキ	面積
カミナリ	雷
ヒノマル	日の丸
サメル	冷める
ヒケメ	引け目
タホウ	他方
タニン	他人
カン	勘
カンジョウ	勘定
オヨブ	及ぶ
ツイキュウ	追及
ラクダイ	落第
ワン	湾
キロク	記録
ムショク	無色
ロクオン	録音
ショチ	処置
ショブン	処分
ショリ	処理
タイショ	対処
カツグ	担ぐ
ツウレツ	痛烈
テンサイ	天才
ヒジョウグチ	非常口
ツケクワエル	付け加える
オトズレル	訪れる
メツキ	目付き
ミカケ	見かけ
ガイムショウ	外務省
オオクラショウ	大蔵省
ハンセイ	反省
モンブショウ	文部省
ツウサンショウ	通産省
ナイ	無い
キョウシツ	教室
シツナイ	室内
タイトク	体得
マワリ	回り
ケンポウ	憲法
センサイ	繊細
オクレ	後れ
カショ	個所
ムシバ	虫歯
ノリキ	乗気
ウッタエル	訴える
フトイ	太い
コウメイ	高名
ハシ	橋
ケイシャ	傾斜
ジュウジロ	十字路
シンポ	進歩
ホチョウ	歩調
ダンダン	段々
ヨコミチ	横道
ブンリ	分離
ハナレル	離れる
ニクイ	難い
カタイ	難い
ソウジキ	掃除機
ヒダリキキ	左利き
カイガン	海岸
キシ	岸
セントウ	銭湯
マス	増す
リュウネン	留年
カンキャク	観客
キャク	客
キャッカンテキ	客観的
キャクセキ	客席
ケンオ	嫌悪
タイケイ	体型
オギナウ	補う
メジルシ	目印
ジョウキャク	乗客
オセジ	お世辞
キョウフウ	強風
ハクジョウ	白状
フウケイ	風景
ソッセン	率先
タイフウ	台風
カミ	紙
シメン	紙面
テガミ	手紙
トダエル	途絶える
ハクシ	白紙
ヒョウシ	表紙
ヨウシ	用紙
キュウゲキ	急激
ゲキドウ	激動
チュウサンカイキュウ	中産階級
ハクランカイ	博覧会
ヒテイ	否定
ヒンジャク	貧弱
オイツク	追いつく
ホソナガイ	細長い
シュウヘン	周辺
メグリアウ	巡り会う
マワリ	周り
メダマショウヒン	目玉商品
イシ	医師
ギシ	技師
キョウシ	教師
ハナス	放す
オシツケル	押し付ける
シテキ	指摘
テキハツ	摘発
ハクイ	白衣
ザイリョウ	材料
シュザイ	取材
シンアイ	親愛
ジンザイ	人材
モクザイ	木材
カワイイ	可愛い
ナス	成す
ツモル	積もる
マチアワセル	待ち合わせる
トウコウ	登校
トザン	登山
トウジョウ	登場
トウロク	登録
ダイダイ	代代
ケイトウ	系統
タイケイ	体系
テッポウ	鉄砲
ヒハン	批判
ヒヒョウ	批評
テイケイ	定形
スジミチ	筋道
ヒトチガイ	人違い
ナンカ	軟化
オカアサン	お母さん
ハハ	母
ハハオヤ	母親
オロシウリ	卸売
アンイ	安易
コウフン	興奮
コウスイ	降水
ヨウイ	容易
ナオル	直る
トウサン	父さん
ノベ	延べ
ケンゼン	健全
トウジョウ	搭乗
ホケン	保健
クロ	黒
クロジ	黒字
コクジン	黒人
ミョウチョウ	明朝
カザン	火山
カジ	火事
ホウカ	放火
イド	井戸
カタイ	固い
コワイ	怖い
エイセイテキ	衛生的
カソク	加速
カイタク	開拓
キュウソク	急速
ゲンソク	減速
コウソク	高速
コウソクドウロ	高速道路
ジソク	時速
スミヤカ	速やか
ソクド	速度
フウソク	風速
セイゾン	生存
ソンザイ	存在
ホゾン	保存
キョウゾン	共存
ハナ	花
ハナビ	花火
テンプク	転覆
リッキャク	立脚
カエル	帰る
ハル	春
ヒソム	潜む
ブアイ	歩合
シカクイ	四角い
トオス	通す
ニュウカ	入荷
ヒコウ	飛行
ヒコウキ	飛行機
ソノホカ	その外
コロス	殺す
サツジン	殺人
ジサツ	自殺
タイヒ	退避
フシンセツ	不親切
セイソウ	正装
チュウオウ	中央
チル	散る
ショウケン	証券
シンズル	信ずる
アカチャン	赤ちゃん
アカジ	赤字
コナ	粉
ナオス	治す
クチドメ	口止め
シンゴウ	信号
サカズキ	杯
バンゴウ	番号
クジラ	鯨
タンナル	単なる
タンニ	単に
タンイ	単位
タンイツ	単一
カメイ	加盟
ラクテンテキ	楽天的
モリアガル	盛り上がる
チュウショウテキ	抽象的
ドウメイ	同盟
アンモク	暗黙
ザセキ	座席
アンセイ	安静
アオ	青
セイシュン	青春
セイネン	青年
ケンブツニン	見物人
トッパ	突破
ハサン	破産
アタリ	当り
アタリマエ	当り前
ヘンセイ	編成
テアテ	手当て
ヘンシュウ	編集
ソウサ	捜査
ヒヤカス	冷やかす
フトコロ	懐
タケ	竹
カイジョ	解除
ベンサイ	弁済
カンセイ	完成
カンゼン	完全
スム	住む
テキリョウ	適量
シュジン	主
オモ	主
シュ	主
ヌシ	主
カイテ	買手
ズイヒツ	随筆
オリル	降りる
ガンバル	頑張る
ネツレツ	熱烈
モクジ	目次
オリル	下りる
ツキアウ	付き合う
ニナウ	担う
ヒキツケル	引き付ける
セキニン	責任
コンドウ	混同
クギル	区切る
イリョウ	医療
チリョウ	治療
ツッコム	突っ込む
カイバツ	海抜
カオツキ	顔付き
ジュウギョウイン	従業員
ジュウライ	従来
サッソク	早速
フジチャク	不時着
チャクチャク	着々
ミギ	右
ミギテ	右手
ノリマワス	乗り回す
トウワク	当惑
シュウセイ	修正
シュウリ	修理
マジル	交じる
ミセビラキ	店開き
シュンブン	春分
ミクラベル	見比べる
イジワル	意地悪
グンタイ	軍隊
ジエイタイ	自衛隊
ナガレル	流れる
キムズカシイ	気難しい
キキ	危機
ソウサイ	相殺
